link,name
https://www.worldometers.info/coronavirus/['country/macedonia/'],North Macedonia
https://www.worldometers.info/coronavirus/['country/albania/'],Albania
https://www.worldometers.info/coronavirus/['country/algeria/'],Algeria
https://www.worldometers.info/coronavirus/['country/luxembourg/'],Luxembourg
https://www.worldometers.info/coronavirus/['country/nigeria/'],Nigeria
https://www.worldometers.info/coronavirus/['country/zimbabwe/'],Zimbabwe
https://www.worldometers.info/coronavirus/['country/uzbekistan/'],Uzbekistan
https://www.worldometers.info/coronavirus/['country/montenegro/'],Montenegro
https://www.worldometers.info/coronavirus/['country/mozambique/'],Mozambique
https://www.worldometers.info/coronavirus/['country/laos/'],Laos
https://www.worldometers.info/coronavirus/['country/kyrgyzstan/'],Kyrgyzstan
https://www.worldometers.info/coronavirus/['country/iceland/'],Iceland
https://www.worldometers.info/coronavirus/['country/martinique/'],Martinique
https://www.worldometers.info/coronavirus/['country/afghanistan/'],Afghanistan
https://www.worldometers.info/coronavirus/['country/maldives/'],Maldives
https://www.worldometers.info/coronavirus/['country/el-salvador/'],El Salvador
https://www.worldometers.info/coronavirus/['country/namibia/'],Namibia
https://www.worldometers.info/coronavirus/['country/guadeloupe/'],Guadeloupe
https://www.worldometers.info/coronavirus/['country/uganda/'],Uganda
https://www.worldometers.info/coronavirus/['country/trinidad-and-tobago/'],Trinidad and Tobago
https://www.worldometers.info/coronavirus/['country/ghana/'],Ghana
https://www.worldometers.info/coronavirus/['country/brunei-darussalam/'],Brunei 
https://www.worldometers.info/coronavirus/['country/jamaica/'],Jamaica
https://www.worldometers.info/coronavirus/['country/cambodia/'],Cambodia
https://www.worldometers.info/coronavirus/['country/rwanda/'],Rwanda
https://www.worldometers.info/coronavirus/['country/cameroon/'],Cameroon
https://www.worldometers.info/coronavirus/['country/malta/'],Malta
https://www.worldometers.info/coronavirus/['country/angola/'],Angola
https://www.worldometers.info/coronavirus/['country/democratic-republic-of-the-congo/'],DRC
https://www.worldometers.info/coronavirus/['country/french-guiana/'],French Guiana
https://www.worldometers.info/coronavirus/['country/malawi/'],Malawi
https://www.worldometers.info/coronavirus/['country/senegal/'],Senegal
https://www.worldometers.info/coronavirus/['country/barbados/'],Barbados
https://www.worldometers.info/coronavirus/['country/cote-d-ivoire/'],Ivory Coast
https://www.worldometers.info/coronavirus/['country/channel-islands/'],Channel Islands
https://www.worldometers.info/coronavirus/['country/suriname/'],Suriname
https://www.worldometers.info/coronavirus/['country/french-polynesia/'],French Polynesia
https://www.worldometers.info/coronavirus/['country/swaziland/'],Eswatini
https://www.worldometers.info/coronavirus/['country/guyana/'],Guyana
https://www.worldometers.info/coronavirus/['country/fiji/'],Fiji
https://www.worldometers.info/coronavirus/['country/madagascar/'],Madagascar
https://www.worldometers.info/coronavirus/['country/new-caledonia/'],New Caledonia
https://www.worldometers.info/coronavirus/['country/belize/'],Belize
https://www.worldometers.info/coronavirus/['country/sudan/'],Sudan
https://www.worldometers.info/coronavirus/['country/cabo-verde/'],Cabo Verde
https://www.worldometers.info/coronavirus/['country/mauritania/'],Mauritania
https://www.worldometers.info/coronavirus/['country/bhutan/'],Bhutan
https://www.worldometers.info/coronavirus/['country/syria/'],Syria
https://www.worldometers.info/coronavirus/['country/gabon/'],Gabon
https://www.worldometers.info/coronavirus/['country/seychelles/'],Seychelles
https://www.worldometers.info/coronavirus/['country/papua-new-guinea/'],Papua New Guinea
https://www.worldometers.info/coronavirus/['country/curacao/'],Curaçao
https://www.worldometers.info/coronavirus/['country/andorra/'],Andorra
https://www.worldometers.info/coronavirus/['country/burundi/'],Burundi
